1.0,-0.05,0.43,0.05,0.51,0.08822017342736582,0.04813731401361627,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,-0.02,0.36,0.0,0.38,0.12034107623901133,-0.15529979191755688,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.03,0.11,-0.14,0.13,0.11930959400473082,-0.17738438707627652,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.14,-0.06,-0.02,0.02,0.010499942683501608,0.026263114888435857,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.19,0.04,-0.17,0.31,0.02885563379729363,0.03416653915977569,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,-0.05,-0.02,-0.07,0.34,0.07726752798006142,0.09863938929175518,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.0,0.01,-0.09,0.18,0.04424259014450161,0.14980852184473903,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.0,-0.12,-0.11,-0.05,0.08744326393995472,-0.2018753962015367,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.15,-0.27,-0.2,0.33,-0.1231471130339883,0.2844904015101285,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,-0.16,-0.05,-0.11,0.43,0.29672710717195133,0.018788929436381774,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,-0.07,0.3,0.08,2.1,1.2059966259610233,-0.6591450054203762,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.0,0.49,0.12,2.19,0.06469043530761176,0.38576566407562984,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,-0.16,0.09,-0.27,-0.46,1.560404697279559,-1.6091417528322005,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,-0.37,0.03,-0.36,-0.11,-0.9890320213182896,0.7485423573900535,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.11,0.32,0.14,-0.07,-0.4645847528667369,0.5391298613541574,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.51,-0.3,0.28,0.18,-0.38349861467424734,0.20354069014065262,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.52,-0.73,0.33,0.13,-0.17763166660072455,0.28257209880072914,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.23,-0.48,0.2,0.23,-0.016957030989568647,0.2651649658232,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,-0.28,0.19,-0.2,0.35,0.3165540653295111,-0.026334838586170764,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,-0.28,0.21,-0.13,0.39,0.2758574815125073,-0.03320617252223933,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,-0.04,0.26,-0.03,0.46,0.082485553535029,0.11178610583618998,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.11,0.07,0.05,0.35,0.11949913921394349,-0.024898910159413715,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.15,-0.14,0.1,0.02,0.032813527214093245,-0.05121789171539533,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.26,-0.28,0.12,0.06,0.029042555688764314,0.11025665494229826,0.0,0.0,0.0,0.0,0.0,0.0,
